EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents,SourceFile,ResidentDataBase64,ResidentDataHex,ResidentDataASCII
39,39,True,17,17,.\WIN98,NET10.CAB,.CAB,339473,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.9340928,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9769690,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
40,40,True,17,17,.\WIN98,NET7.CAB,.CAB,1610240,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.9340928,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9769802,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
41,41,True,17,17,.\WIN98,NET8.CAB,.CAB,1802240,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.9340928,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9769914,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
42,42,True,17,17,.\WIN98,NET9.CAB,.CAB,1802240,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.9340928,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9770034,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
43,43,True,17,17,.\WIN98,OEMSETUP.BIN,.BIN,3270,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.9941792,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9770304,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
44,44,True,17,17,.\WIN98,OEMSETUP.EXE,.EXE,78720,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.9941792,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9770416,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
45,45,True,17,17,.\WIN98,PRECOPY1.CAB,.CAB,1331200,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.9941792,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9770536,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
46,46,True,17,17,.\WIN98,PRECOPY2.CAB,.CAB,1335443,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.9941792,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9770648,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
47,47,True,17,17,.\WIN98,SAVE32.COM,.COM,920,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:22.0242224,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9770760,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
48,48,True,17,17,.\WIN98,SCANDISK.EXE,.EXE,143818,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:22.0242224,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9770872,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
49,49,True,17,17,.\WIN98,SCANDISK.PIF,.PIF,995,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:22.0242224,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9770984,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
50,50,True,17,17,.\WIN98,SCANPROG.EXE,.EXE,4438,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:22.0242224,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9771108,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
